INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2010-09-11T00:00:00-00:00,2010-09-11T00:15:00-00:00,2010-09-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,36.76448,1,1
2010-09-11T01:00:00-00:00,2010-09-11T01:15:00-00:00,2010-09-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,25.96051,1,1
2010-09-11T02:00:00-00:00,2010-09-11T02:15:00-00:00,2010-09-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,28.51433,1,1
2010-09-11T03:00:00-00:00,2010-09-11T03:15:00-00:00,2010-09-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,38.41559,1,1
2010-09-11T04:00:00-00:00,2010-09-11T04:15:00-00:00,2010-09-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,39.38165,1,1
2010-09-11T05:00:00-00:00,2010-09-11T05:15:00-00:00,2010-09-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,37.57154,1,1
2010-09-11T06:00:00-00:00,2010-09-11T06:15:00-00:00,2010-09-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,37.57789,1,1
2010-09-11T00:15:00-00:00,2010-09-11T00:30:00-00:00,2010-09-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,33.43535,2,1
2010-09-11T01:15:00-00:00,2010-09-11T01:30:00-00:00,2010-09-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,25.39458,2,1
2010-09-11T02:15:00-00:00,2010-09-11T02:30:00-00:00,2010-09-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,33.21287,2,1
