INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2015-09-21T00:00:00-00:00,2015-09-21T00:15:00-00:00,2015-09-20,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,66.69826,1,1
2015-09-21T01:00:00-00:00,2015-09-21T01:15:00-00:00,2015-09-20,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,170.84272,1,1
2015-09-21T02:00:00-00:00,2015-09-21T02:15:00-00:00,2015-09-20,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,310.02255,1,1
2015-09-21T03:00:00-00:00,2015-09-21T03:15:00-00:00,2015-09-20,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,51.80884,1,1
2015-09-21T04:00:00-00:00,2015-09-21T04:15:00-00:00,2015-09-20,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,52.03885,1,1
2015-09-21T05:00:00-00:00,2015-09-21T05:15:00-00:00,2015-09-20,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,53.44772,1,1
2015-09-21T06:00:00-00:00,2015-09-21T06:15:00-00:00,2015-09-20,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,36.01356,1,1
2015-09-21T00:15:00-00:00,2015-09-21T00:30:00-00:00,2015-09-20,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,76.04286,2,1
2015-09-21T01:15:00-00:00,2015-09-21T01:30:00-00:00,2015-09-20,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,152.23429,2,1
2015-09-21T02:15:00-00:00,2015-09-21T02:30:00-00:00,2015-09-20,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,52.79844,2,1
